ID,Year,Make,Model,CC,Miles,Price
60831,2010,APRILIA,RSV4 FACTORY UPGRADE ,1000,20629,$9970
50916,2009,BMW,F650GS STANDARD ABS,650,28626,$7965Call First
51286,2009,BMW,F800GS STANDARD ABS,800,20417,SOLD
60676,2005,BMW,K1200LT ,1200,24843,$7970
60410,2004,BMW,R1200CL ,1200,17097,$5460
11970,2009,BMW,R1200GS ,1170,40563,$7955
40524,2012,BMW,R1200GS ,1170,21964,$11960
60176,2014,BMW,R1200GS PREMIUM ,1200,22681,$19975
60865,2015,BMW,R1200GS PREMIUM ,1200,1525,$19980
50932,2014,BMW,R1200RT ,1200,16184,SOLD
60599,2011,BMW,S1000RR PREMIUM ,1000,23888,SOLD
60629,2012,BMW,S1000RR PREMIUM ,1000,18390,$11260
60539,2009,BUELL,1125CR ,1125,7122,SOLD
60840,2009,CAN-AM,SPYDER GS SE5 ,990,8679,SOLD
61010,2010,CAN-AM,SPYDER RT SM5 ,998,7051,$12760
60968,2011,CUSTOM,TRAILER COM-FAB SINGLE PWC,,0,$970Call First
60893,2014,DUCATI,899 PANIGALE ,899,930,SOLD
51728,2013,DUCATI,DIAVEL CROMO ,1200,9816,SOLD
60979,2012,DUCATI,MULTISTRADA 1200 ABS ,1200,12357,In Transit
60913,2012,DUCATI,STREETFIGHTER 848 ,848,4482,SOLD
60757,2007,HARLEY,FLHRS ROAD KING CSTM CUSTOM,1584,13854,$9960
61077,2012,HARLEY,FLHTC ELECTRA GLIDE CLASSIC,1687,31967,In Transit
60938,2008,HARLEY,FLHTCU UL CL EL GLD ULTRA CLAS,1584,39656,SOLD
60603,2012,HARLEY,FLHTCU UL CL EL GLD ULTRA CLAS,1687,27122,SOLD
61048,2012,HARLEY,FLHTCU UL CL EL GLD ULTRA CLAS,1687,12926,$14460
60948,2003,HARLEY,FLHTCUI UL CL EL GLD ULTRA CLAS,1450,44060,$9954
61045,2010,HARLEY,FLHTK EL GL UL LTD ULTRA LTD,1687,14868,In Transit
60976,2012,HARLEY,FLHX STREET GLIDE ,1687,23344,$15960
60816,2014,HARLEY,FLHXS STREET GLIDE ,1687,6867,SOLD
60062,1993,HARLEY,FLSTN HERITAGE NOSTALGIA,1340,10138,$12960
51731,1997,HARLEY,FLSTS SPRINGER HERITAGE,1340,3304,$13970
043765,1998,HARLEY,FLSTS SPRINGER HERITAGE,1340,39141,$11960
61032,2013,HARLEY,FLTRX ROAD GLIDE CUSTOM,1687,12817,$18760
61026,2012,HARLEY,FXDC DYNA SUPER GLD CUSTOM,1584,12740,$8260
60443,2014,HARLEY,FXDL DYNA LOW RIDER ,1687,6799,SOLD
51844,2012,HARLEY,FXDWG DYNA WIDE GL ,1687,17207,SOLD
61035,2005,HARLEY,FXDWG DYNA WIDE GLD ,1450,19789,$6460
50565,2002,HARLEY,FXSTD SOFTAIL DEUCE ,1450,17611,SOLD
50248,2010,HARLEY,VRSC V-ROD VROD,1250,18976,SOLD
61007,2012,HARLEY,VRSCDX NIGHT ROD SPECIAL,1250,9129,In Transit
60588,2015,HARLEY,XG500 ,500,831,SOLD
